sku,name,supplier,replacement_sku,is_exchange
012145055,עול מפרק אונברסלי הינע דיפרנציאלי,,,לא
012145063,לוח מרכזי מחבר אוניברסלי דיפרנציאלי,,,לא
012145071,גל הינע הנע סופי שמאל דיפרניצאל,,,לא
012145098,דיסקית פלדה גל הינע,,,לא
012145721,מתאם מפרק אונברסלי הינע סופי,,,לא
012147538,מחבר מהיר מסנן שמן דיפרנציאל,,,לא
012147554,צינור מסנן שמן דיפרנציאל מכל,,,לא
012147600,זרנוק גומי מכלל משאבת שמן מסנן,,,לא
012147619,טבעת חסימה חיבור ברך משאבת שמן,,,לא
012147643,מסנן שמן דיפרנציאל מכלל,,,לא
012147708,"הינע סופי נגמ""ש באריזת עץ",,,לא
012149506,מוט פיתול שמאלי,,,לא
012149522,מוט פיתול ימני,,,לא
012149549,"גלגל מרכוב נגמ""ש אלומיניום",,,לא
012149573,בורג ראש משושה חיזוק זרוע גלגל,,,לא
012149603,מתלה אמצעי מכלל,,,לא
012149611,מתלה שמאלי קדמי ואחורי מכלל,,,לא
012149620,מתלה ימני קדמי ואחורי מכלל,,,לא
012149743,לולב ראש משושה חיזוק בית טבור,,,לא
012149867,בית מתלה זרוע מרכוב זחל,,,לא
012149999,מכסה משופר טבור גלגל מרכוב,,,לא
012150105,זרוע מתח מכלל,,,לא
012150121,טבור מכלל גלגל מתח זחל,,,לא
012150130,לולב ארוך טבור זרוע מתח,,,לא
012150164,טבעת חסימה מיכל שמן כבש,,,לא
012150172,כוש זרוע גלגל מרכוב מתח,,,לא
012150482,גלגל מתח,,,כן
012150903,תוף הנעת זחל ללא זרים,,,לא
012150920,זר מניע זחל,,,לא
012150938,מרווח גומי לזר מניע,,,לא
012150970,"חוליית זחל נגמ""ש",,,לא
012151012,"אום סגירה עצמית חולייה זחל נגמ""ש",,,לא
012151020,פין חיבור חוליית זחל,,,לא
012151055,אום גלגל מרכוב,,,לא
012151977,שיפור ל012152493 פין היגוי ישן,,,לא
012152540,שן שמאלי מוט בקרה הגה דיפרנציאל,,,לא
012152566,מוט שן מחגר ידית היגוי,,,לא
012152612,שן מנוף בקרה יד הגה ימני דיפרנציאל,,,לא
012152698,שינן לתפיסת בלם חנייה,,,לא
012170360,גלגילה כבל הפעלת דלת אחורית,,,לא
012170394,כבל הרמת כבש מכלל,,,לא
012170548,שסתום בקרה מכלל הפעלת כבש,,,לא
012170580,זרנוק גומי מכלל מנגנון הידראולי,,,לא
012170599,צינור הידראולי מכלל,,,לא
012170629,זרנוק גומי מכלל מנגנון הידראולי,,,לא
012170700,שסתום לחץ מיכל שמן הידראולי דלת,,,לא
012173091,משענת כסה מתקפל שמאל,,,לא
012176317,בוכנה מכלל רמפה הידראולי משופר,,,לא
01219506,מוט פיתול שמאלי,,,לא
01219522,מוט פיתול ימני,,,לא
012210078,משאבת דלק חשמלי מכלל,,,לא
012212542,דסקית חסימה קצה צינורית דלק,,,לא
012213000,זרנוק גומי מכלל משאבה דלק מסנן,,,לא
012213263,זרנוק גומי חיבור אוורר מיכל,,,לא
012217064,בקרה מכלל עם ידית לחץ ומשיכה,,,לא
